date,year,month,day,market,category,price,price_filled,fill_method
2009-01-08,2009,1,8,Chittoor,NECC,196.0,196.0,observed
2009-01-08,2009,1,8,Delhi (CC),NECC,226.0,226.0,observed
2009-01-08,2009,1,8,E.Godavari,NECC,NA,211.0,next_price
2009-01-08,2009,1,8,Hospet,NECC,NA,165.0,next_price
2009-01-08,2009,1,8,Hyderabad,NECC,196.0,196.0,observed
2009-01-08,2009,1,8,Jabalpur,NECC,NA,550.0,next_price
2009-01-08,2009,1,8,Kolkata (WB),NECC,240.0,240.0,observed
2009-01-08,2009,1,8,Ludhiana,NECC,NA,168.0,next_price
2009-01-08,2009,1,8,Midnapur (KOL),NECC,NA,504.0,next_price
2009-01-08,2009,1,8,Mumbai (CC),NECC,218.0,218.0,observed
2009-01-08,2009,1,8,Mysuru,NECC,200.0,200.0,observed
2009-01-08,2009,1,8,Namakkal,NECC,200.0,200.0,observed
2009-01-08,2009,1,8,Pune,NECC,NA,168.0,next_price
2009-01-08,2009,1,8,Raipur,NECC,NA,180.0,next_price
2009-01-08,2009,1,8,Surat,NECC,NA,445.0,next_price
2009-01-08,2009,1,8,Vijayawada,NECC,194.0,194.0,observed
2009-01-08,2009,1,8,Vizag,NECC,206.0,206.0,observed
2009-01-08,2009,1,8,W.Godavari,NECC,194.0,194.0,observed
2009-01-08,2009,1,8,Warangal,NECC,197.0,197.0,observed
2009-01-08,2009,1,8,Allahabad (CC),PREVAILING,NA,198.0,next_price
2009-01-08,2009,1,8,Bhopal,PREVAILING,NA,180.0,next_price
2009-01-08,2009,1,8,Indore (CC),PREVAILING,228.0,228.0,observed
2009-01-08,2009,1,8,Jabalpur,PREVAILING,220.0,220.0,observed
2009-01-08,2009,1,8,Kanpur (CC),PREVAILING,NA,200.0,next_price
2009-01-08,2009,1,8,Luknow (CC),PREVAILING,214.0,214.0,observed
2009-01-08,2009,1,8,Muzaffurpur (CC),PREVAILING,NA,490.0,next_price
2009-01-08,2009,1,8,Nagpur,PREVAILING,210.0,210.0,observed
2009-01-08,2009,1,8,Patna,PREVAILING,NA,486.0,next_price
2009-01-08,2009,1,8,Ranchi  (CC),PREVAILING,NA,500.0,next_price
2009-01-08,2009,1,8,Varanasi (CC),PREVAILING,214.0,214.0,observed
2009-01-09,2009,1,9,Ahmedabad,NECC,217.0,217.0,observed
2009-01-09,2009,1,9,Ajmer,NECC,219.0,219.0,observed
2009-01-09,2009,1,9,Asansole,NECC,NA,500.0,next_price
2009-01-09,2009,1,9,Barwala,NECC,NA,168.0,next_price
2009-01-09,2009,1,9,Bengaluru (CC),NECC,202.0,202.0,observed
2009-01-09,2009,1,9,Brahmapur (OD),NECC,NA,305.0,next_price
2009-01-09,2009,1,9,Burdwan (CC),NECC,NA,504.0,next_price
2009-01-09,2009,1,9,Chennai (CC),NECC,203.0,203.0,observed
2009-01-09,2009,1,9,Chittoor,NECC,196.0,196.0,observed
2009-01-09,2009,1,9,Delhi (CC),NECC,226.0,226.0,observed
2009-01-09,2009,1,9,E.Godavari,NECC,NA,211.0,next_price
2009-01-09,2009,1,9,Hospet,NECC,NA,165.0,next_price
2009-01-09,2009,1,9,Hyderabad,NECC,196.0,196.0,observed
2009-01-09,2009,1,9,Jabalpur,NECC,NA,550.0,next_price
2009-01-09,2009,1,9,Kolkata (WB),NECC,250.0,250.0,observed
2009-01-09,2009,1,9,Ludhiana,NECC,NA,168.0,next_price
2009-01-09,2009,1,9,Midnapur (KOL),NECC,NA,504.0,next_price
2009-01-09,2009,1,9,Mumbai (CC),NECC,218.0,218.0,observed
2009-01-09,2009,1,9,Mysuru,NECC,200.0,200.0,observed
2009-01-09,2009,1,9,Namakkal,NECC,200.0,200.0,observed
2009-01-09,2009,1,9,Pune,NECC,NA,168.0,next_price
2009-01-09,2009,1,9,Raipur,NECC,NA,180.0,next_price
2009-01-09,2009,1,9,Surat,NECC,NA,445.0,next_price
2009-01-09,2009,1,9,Vijayawada,NECC,194.0,194.0,observed
2009-01-09,2009,1,9,Vizag,NECC,206.0,206.0,observed
2009-01-09,2009,1,9,W.Godavari,NECC,194.0,194.0,observed
2009-01-09,2009,1,9,Warangal,NECC,197.0,197.0,observed
2009-01-09,2009,1,9,Allahabad (CC),PREVAILING,NA,198.0,next_price
2009-01-09,2009,1,9,Bhopal,PREVAILING,NA,180.0,next_price
2009-01-09,2009,1,9,Indore (CC),PREVAILING,232.0,232.0,observed
2009-01-09,2009,1,9,Jabalpur,PREVAILING,221.0,221.0,observed
2009-01-09,2009,1,9,Kanpur (CC),PREVAILING,NA,200.0,next_price
2009-01-09,2009,1,9,Luknow (CC),PREVAILING,216.0,216.0,observed
2009-01-09,2009,1,9,Muzaffurpur (CC),PREVAILING,NA,490.0,next_price
2009-01-09,2009,1,9,Nagpur,PREVAILING,210.0,210.0,observed
2009-01-09,2009,1,9,Patna,PREVAILING,NA,486.0,next_price
2009-01-09,2009,1,9,Ranchi  (CC),PREVAILING,NA,500.0,next_price
2009-01-09,2009,1,9,Varanasi (CC),PREVAILING,216.0,216.0,observed
2009-01-10,2009,1,10,Ahmedabad,NECC,217.0,217.0,observed
2009-01-10,2009,1,10,Ajmer,NECC,219.0,219.0,observed
2009-01-10,2009,1,10,Asansole,NECC,NA,500.0,next_price
2009-01-10,2009,1,10,Barwala,NECC,NA,168.0,next_price
2009-01-10,2009,1,10,Bengaluru (CC),NECC,202.0,202.0,observed
2009-01-10,2009,1,10,Brahmapur (OD),NECC,NA,305.0,next_price
2009-01-10,2009,1,10,Burdwan (CC),NECC,NA,504.0,next_price
2009-01-10,2009,1,10,Chennai (CC),NECC,203.0,203.0,observed
2009-01-10,2009,1,10,Chittoor,NECC,196.0,196.0,observed
2009-01-10,2009,1,10,Delhi (CC),NECC,226.0,226.0,observed
2009-01-10,2009,1,10,E.Godavari,NECC,NA,211.0,next_price
2009-01-10,2009,1,10,Hospet,NECC,NA,165.0,next_price
2009-01-10,2009,1,10,Hyderabad,NECC,196.0,196.0,observed
2009-01-10,2009,1,10,Jabalpur,NECC,NA,550.0,next_price
2009-01-10,2009,1,10,Kolkata (WB),NECC,260.0,260.0,observed
2009-01-10,2009,1,10,Ludhiana,NECC,NA,168.0,next_price
2009-01-10,2009,1,10,Midnapur (KOL),NECC,NA,504.0,next_price
2009-01-10,2009,1,10,Mumbai (CC),NECC,218.0,218.0,observed
2009-01-10,2009,1,10,Mysuru,NECC,200.0,200.0,observed
2009-01-10,2009,1,10,Namakkal,NECC,200.0,200.0,observed
2009-01-10,2009,1,10,Pune,NECC,NA,168.0,next_price
2009-01-10,2009,1,10,Raipur,NECC,NA,180.0,next_price
2009-01-10,2009,1,10,Surat,NECC,NA,445.0,next_price
2009-01-10,2009,1,10,Vijayawada,NECC,194.0,194.0,observed
2009-01-10,2009,1,10,Vizag,NECC,206.0,206.0,observed
2009-01-10,2009,1,10,W.Godavari,NECC,194.0,194.0,observed
2009-01-10,2009,1,10,Warangal,NECC,197.0,197.0,observed
2009-01-10,2009,1,10,Allahabad (CC),PREVAILING,NA,198.0,next_price
2009-01-10,2009,1,10,Bhopal,PREVAILING,NA,180.0,next_price
2009-01-10,2009,1,10,Indore (CC),PREVAILING,232.0,232.0,observed
2009-01-10,2009,1,10,Jabalpur,PREVAILING,221.0,221.0,observed
2009-01-10,2009,1,10,Kanpur (CC),PREVAILING,NA,200.0,next_price
2009-01-10,2009,1,10,Luknow (CC),PREVAILING,216.0,216.0,observed
